timestamp,joint_1_pos,joint_2_pos,joint_3_pos,joint_4_pos,joint_5_pos,joint_6_pos,joint_7_pos,finger_joint_pos,left_inner_knuckle_joint_pos,left_inner_finger_joint_pos,right_outer_knuckle_joint_pos,right_inner_knuckle_joint_pos,right_inner_finger_joint_pos,joint_1_vel,joint_2_vel,joint_3_vel,joint_4_vel,joint_5_vel,joint_6_vel,joint_7_vel,finger_joint_vel,left_inner_knuckle_joint_vel,left_inner_finger_joint_vel,right_outer_knuckle_joint_vel,right_inner_knuckle_joint_vel,right_inner_finger_joint_vel,joint_1_eff,joint_2_eff,joint_3_eff,joint_4_eff,joint_5_eff,joint_6_eff,joint_7_eff,finger_joint_eff,left_inner_knuckle_joint_eff,left_inner_finger_joint_eff,right_outer_knuckle_joint_eff,right_inner_knuckle_joint_eff,right_inner_finger_joint_eff
1660320833700663566,0.000012,0.261907,3.141589,-2.268973,0.000010,0.959882,1.570827,0.003509,0.003509,-0.003509,0.003509,0.003509,-0.003509,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,-0.000000,-0.282471,12.737747,0.894956,-6.135097,-1.119271,-3.310957,-0.366638,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1660320833725668668,0.000012,0.261907,3.141589,-2.268973,0.000010,0.959882,1.570827,0.003509,0.003509,-0.003509,0.003509,0.003509,-0.003509,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,-0.000000,-0.281993,12.759180,0.879550,-6.156604,-1.139860,-3.289875,-0.353768,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1660320833750676631,0.000012,0.261907,3.141589,-2.268973,0.000010,0.959882,1.570827,0.003509,0.003509,-0.003509,0.003509,0.003509,-0.003509,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,-0.000000,-0.298816,12.797762,0.876068,-6.112801,-1.129136,-3.291250,-0.364672,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1660320833775724887,0.000012,0.261907,3.141589,-2.268973,0.000010,0.959882,1.570827,0.003509,0.003509,-0.003509,0.003509,0.003509,-0.003509,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,-0.000000,-0.249147,12.750595,0.876012,-6.214854,-1.152688,-3.334026,-0.353153,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1660320833800764083,0.000012,0.261907,3.141589,-2.268973,0.000010,0.959882,1.570827,0.003509,0.003509,-0.003509,0.003509,0.003509,-0.003509,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,-0.000000,-0.249384,12.611081,0.919145,-6.117253,-1.153049,-3.263524,-0.359627,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1660320833825719833,0.000012,0.261907,3.141589,-2.268973,0.000010,0.959882,1.570827,0.003509,0.003509,-0.003509,0.003509,0.003509,-0.003509,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,-0.000000,-0.225605,12.668701,0.945461,-6.223948,-1.162378,-3.318088,-0.349727,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1660320833850864171,0.000012,0.261907,3.141589,-2.268973,0.000010,0.959882,1.570827,0.003509,0.003509,-0.003509,0.003509,0.003509,-0.003509,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,-0.000000,-0.210420,12.692677,0.932316,-6.121743,-1.132576,-3.301031,-0.349303,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1660320833875797271,0.000012,0.261907,3.141589,-2.268973,0.000010,0.959882,1.570827,0.003509,0.003509,-0.003509,0.003509,0.003509,-0.003509,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,-0.000000,-0.255519,12.706165,0.882480,-6.181216,-1.147020,-3.299491,-0.363194,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1660320833900687694,0.000012,0.261907,3.141589,-2.268973,0.000010,0.959882,1.570827,0.003509,0.003509,-0.003509,0.003509,0.003509,-0.003509,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,-0.000000,-0.339191,12.703901,0.869252,-6.031271,-1.139323,-3.267572,-0.367366,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1660320833925709724,0.000012,0.261907,3.141589,-2.268973,0.000010,0.959882,1.570827,0.003509,0.003509,-0.003509,0.003509,0.003509,-0.003509,0.000000,0.000005,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,-0.000000,-0.274828,12.855737,0.852705,-6.236753,-1.133464,-3.349507,-0.354646,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1660320833950787305,0.000012,0.261907,3.141589,-2.268973,0.000010,0.959882,1.570827,0.003509,0.003509,-0.003509,0.003509,0.003509,-0.003509,0.000000,0.000005,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,-0.000000,-0.232721,12.719493,0.908219,-6.090164,-1.147566,-3.277150,-0.350296,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
